trajectory_ID	taxon	abundance	time	type
5	Bacteroides-vulgatus	581.4261	34.8	simulation
5	Bacteroides-vulgatus	583.0634	34.9	simulation
5	Bacteroides-vulgatus	584.7054	35	simulation
5	Bacteroides-vulgatus	586.352	35.1	simulation
5	Bacteroides-vulgatus	588.0032	35.2	simulation
5	Bacteroides-vulgatus	589.6591	35.3	simulation
5	Bacteroides-vulgatus	591.3197	35.4	simulation
5	Bacteroides-vulgatus	592.9849	35.5	simulation
5	Bacteroides-vulgatus	594.6548	35.6	simulation
5	Bacteroides-vulgatus	596.3295	35.7	simulation
5	Bacteroides-vulgatus	598.0088	35.8	simulation
5	Bacteroides-vulgatus	599.6929	35.9	simulation
5	Bacteroides-vulgatus	601.3817	36	simulation
5	Bacteroides-vulgatus	603.0753	36.1	simulation
5	Bacteroides-vulgatus	604.7736	36.2	simulation
5	Bacteroides-vulgatus	606.4767	36.3	simulation
5	Bacteroides-vulgatus	608.1846	36.4	simulation
5	Bacteroides-vulgatus	609.8973	36.5	simulation
5	Bacteroides-vulgatus	611.6149	36.6	simulation
5	Bacteroides-vulgatus	613.3373	36.7	simulation
5	Bacteroides-vulgatus	615.0645	36.8	simulation
5	Bacteroides-vulgatus	616.7966	36.9	simulation
5	Bacteroides-vulgatus	618.5335	37	simulation
5	Bacteroides-vulgatus	620.2754	37.1	simulation
5	Bacteroides-vulgatus	622.0222	37.2	simulation
5	Bacteroides-vulgatus	623.7739	37.3	simulation
5	Bacteroides-vulgatus	625.5306	37.4	simulation
5	Bacteroides-vulgatus	627.2921	37.5	simulation
5	Bacteroides-vulgatus	629.0587	37.6	simulation
5	Bacteroides-vulgatus	630.8302	37.7	simulation
5	Bacteroides-vulgatus	632.6067	37.8	simulation
5	Bacteroides-vulgatus	634.3882	37.9	simulation
5	Bacteroides-vulgatus	636.1747	38	simulation
5	Bacteroides-vulgatus	637.9663	38.1	simulation
5	Bacteroides-vulgatus	639.7628	38.2	simulation
5	Bacteroides-vulgatus	641.5645	38.3	simulation
5	Bacteroides-vulgatus	643.3712	38.4	simulation
5	Bacteroides-vulgatus	645.183	38.5	simulation
5	Bacteroides-vulgatus	646.9999	38.6	simulation
5	Bacteroides-vulgatus	648.8219	38.7	simulation
5	Bacteroides-vulgatus	650.6491	38.8	simulation
5	Bacteroides-vulgatus	652.4814	38.9	simulation
5	Bacteroides-vulgatus	654.3189	39	simulation
5	Bacteroides-vulgatus	656.1615	39.1	simulation
5	Bacteroides-vulgatus	658.0094	39.2	simulation
5	Bacteroides-vulgatus	659.8624	39.3	simulation
5	Bacteroides-vulgatus	661.7207	39.4	simulation
5	Bacteroides-vulgatus	663.5842	39.5	simulation
5	Bacteroides-vulgatus	665.4529	39.6	simulation
5	Bacteroides-vulgatus	667.3269	39.7	simulation
5	Bacteroides-vulgatus	669.2062	39.8	simulation
5	Bacteroides-vulgatus	671.0907	39.9	simulation
5	Bacteroides-vulgatus	672.9806	40	simulation
5	Bacteroides-vulgatus	674.8758	40.1	simulation
5	Bacteroides-vulgatus	676.7763	40.2	simulation
5	Bacteroides-vulgatus	678.6822	40.3	simulation
5	Bacteroides-vulgatus	680.5934	40.4	simulation
5	Bacteroides-vulgatus	682.51	40.5	simulation
5	Bacteroides-vulgatus	684.432	40.6	simulation
5	Bacteroides-vulgatus	686.3595	40.7	simulation
5	Bacteroides-vulgatus	688.2924	40.8	simulation
5	Bacteroides-vulgatus	690.2307	40.9	simulation
5	Bacteroides-vulgatus	692.1745	41	simulation
5	Bacteroides-vulgatus	694.1238	41.1	simulation
5	Bacteroides-vulgatus	696.0785	41.2	simulation
5	Bacteroides-vulgatus	698.0388	41.3	simulation
5	Bacteroides-vulgatus	700.0045	41.4	simulation
